Date,Open,High,Low,Close,Adj Close,Volume
4/1/2012,43.59,44,40.880001,43.110001,38.598274,136072000
5/1/2012,43.18,46.099998,42.84,45.709999,40.926159,235329800
6/1/2012,45.150002,48.950001,44.139999,48.5,43.424168,202963900
7/1/2012,48.619999,50.540001,46.849998,49.139999,43.997189,177535700
8/1/2012,49.330002,50.650002,48.130001,49.470001,44.29266,175338200
9/1/2012,49.52,53.400002,49.23,52.279999,46.808563,162824600
10/1/2012,52.310001,53.150002,48.799999,49.119999,43.979282,159711500
11/1/2012,49.279999,50.990002,46.529999,49.66,44.462772,218866700
12/1/2012,49.77,51.060001,48.549999,49.790001,44.579163,159328600
1/1/2013,50.799999,54.869999,50.18,53.880001,48.981926,186436300
2/1/2013,54.18,55.950001,53.41,54.59,49.62738,183387500
3/1/2013,54.310001,57.82,54.299999,56.799999,51.636471,135853800
4/1/2013,56.889999,63.25,56.150002,62.84,57.127399,181634900
5/1/2013,62.880001,67.889999,62.799999,63.080002,57.345581,202249600
6/1/2013,63.060001,65.550003,61.82,63.150002,57.409218,151203100
7/1/2013,63.84,67.360001,62.57,64.650002,58.772854,132449900
8/1/2013,65.160004,67.160004,60.41,60.830002,55.300121,161728900
9/1/2013,61.419998,67.650002,60.52,64.489998,58.627392,207271000
10/1/2013,64.370003,69.870003,63.099998,68.589996,62.354687,149885600
11/1/2013,68.709999,71.690002,66.720001,70.540001,64.127411,127300800
12/1/2013,70.790001,76.540001,68.800003,76.400002,69.454697,139787700
1/1/2014,76.040001,76.839996,71.120003,72.610001,66.824158,144225600
2/1/2014,72.660004,81.589996,69.849998,80.809998,74.37075,159959800
3/1/2014,80.300003,83.650002,77.279999,80.07,73.68972,147818100
4/1/2014,80.389999,82.849998,76.309998,79.339996,73.017899,141470400
5/1/2014,79.349998,84.389999,79.209999,84.010002,77.315765,135289000
6/1/2014,84.269997,86.07,81.800003,85.739998,78.907913,129981800
7/1/2014,85.809998,87.629997,84.870003,85.879997,79.036758,120676600
8/1/2014,85.389999,91.139999,85.209999,89.879997,82.71801,119719000
9/1/2014,90.18,91.199997,87.360001,89.029999,81.935745,112146900
10/1/2014,89.080002,91.980003,78.540001,91.379997,84.098503,196405200
11/1/2014,91.239998,92.959999,88.650002,92.510002,85.138458,129883200
12/1/2014,92.629997,95.93,90.129997,94.190002,86.684593,145232700
1/1/2015,94.910004,96.43,90.830002,90.959999,84.77594,139500600
2/1/2015,91.300003,105.980003,90.059998,104.080002,97.003952,150289300
3/1/2015,104.349998,108.940002,102.870003,104.889999,97.758888,127784500
4/1/2015,105.43,111.660004,104.25,108.720001,101.328491,118683000
5/1/2015,109.949997,113.300003,107.669998,110.370003,102.866318,121219000
6/1/2015,111.480003,115.279999,107.650002,114.139999,106.380013,132415500
7/1/2015,114.949997,120.720001,114.269997,120,111.841606,128648900
8/1/2015,120.879997,122.080002,90,101.879997,95.505775,409039800
9/1/2015,99.309998,105.949997,97.769997,102.199997,95.805756,191307900
10/1/2015,102.970001,115.400002,99.879997,113.739998,106.623749,160006200
11/1/2015,114.489998,120.650002,110.809998,113.470001,106.370651,193950600
12/1/2015,114.150002,115.470001,104.300003,105.080002,98.505562,229165100
1/1/2016,103.120003,103.43,90.419998,95.82,90.400734,222765600
2/1/2016,95.080002,97,86.25,95.519997,90.117691,211432100
3/1/2016,95.900002,100.370003,95.529999,99.309998,93.693352,143110700
4/1/2016,98.800003,105.599998,95.800003,103.260002,97.419945,149298100
5/1/2016,103.300003,106.75,97.510002,99.220001,93.608437,179880700
6/1/2016,98.669998,100.959999,94,97.82,92.287613,154881400
7/1/2016,97.75,100.800003,95.82,95.949997,90.523369,129156600
8/1/2016,96.150002,99.269997,94.160004,94.459999,89.765015,186980800
9/1/2016,94.730003,94.959999,91.190002,92.860001,88.244537,164603500
10/1/2016,92.470001,94.400002,90.32,92.690002,88.082977,139393400
11/1/2016,92.779999,100.290001,91.660004,99.120003,94.193405,187624400
12/1/2016,99.129997,106.260002,98.25,104.220001,99.039902,178818000
1/1/2017,105.300003,111.050003,105.209999,110.650002,105.960678,146529700
2/1/2017,110.709999,111.989998,108.580002,110.089996,105.424408,130198500
3/1/2017,110.660004,113.709999,110.040001,113.389999,108.584564,128977500
4/1/2017,113.18,116.099998,112.040001,115.599998,110.700897,97240300
5/1/2017,115.589996,115.610001,105.230003,107.940002,103.365532,173480500
6/1/2017,107.730003,108.639999,103.169998,106.25,101.747154,168401900
7/1/2017,106.760002,110.190002,102.720001,109.93,105.271187,114387900
8/1/2017,109.980003,110.830002,100.5,101.199997,97.632111,196946900
9/1/2017,101.650002,102.550003,96.199997,98.57,95.094833,192634400
10/1/2017,99.309998,100.980003,96.800003,97.809998,94.361626,136249500
11/1/2017,98.129997,106.260002,97.900002,104.82,101.124474,172385900
12/1/2017,104.580002,112.669998,103.870003,107.510002,103.719643,204095500
1/1/2018,108.949997,113.190002,108.470001,108.669998,105.682114,161521100
2/1/2018,108.620003,110.650002,100.260002,103.160004,100.323616,187750900
3/1/2018,103.199997,105.940002,98.150002,100.440002,97.678398,154204900
4/1/2018,100.18,102.709999,97.699997,100.330002,97.571426,159399600
5/1/2018,100.18,105.489998,97.68,99.470001,96.735069,195097400
6/1/2018,99.690002,109.489998,99.199997,104.809998,101.928246,205417800
7/1/2018,104.150002,114.68,103.5,113.559998,110.43766,153023200
8/1/2018,113.68,117.900002,111.440002,112.019997,109.815689,135849100
9/1/2018,111.800003,117.459999,108.230003,116.940002,114.638885,143771100
10/1/2018,117.279999,119.690002,110.32,114.830002,112.570404,178593100
11/1/2018,115.199997,120.199997,111.519997,115.489998,113.217415,179965100
12/1/2018,116.650002,116.919998,100.349998,109.650002,107.49234,163486600
1/1/2019,108.099998,113.18,105.940002,111.519997,110.173546,154319500
2/1/2019,111.970001,115.800003,109.150002,112.839996,111.477608,162350800
3/1/2019,113.449997,115.480003,107.32,111.029999,109.689461,333771400
4/1/2019,111.589996,142.369995,111.379997,136.970001,135.316269,355199600
5/1/2019,137.490005,138.169998,130.550003,132.039993,130.445786,208497300
6/1/2019,132.020004,143.509995,131.490005,139.639999,137.954025,195325100
7/1/2019,140.449997,147.149994,139.220001,143.009995,141.28334,162286300
8/1/2019,143.339996,144.529999,131.020004,137.259995,136.442535,214316500
9/1/2019,136.369995,140.080002,128.919998,130.320007,129.543869,161822400
10/1/2019,130.800003,133.679993,127.540001,129.919998,129.146255,164542300
11/1/2019,130.990005,153.410004,130.509995,151.580002,150.677261,291068300
12/1/2019,152.940002,152.970001,143.259995,144.630005,143.768646,170966600
1/1/2020,145.289993,148.199997,139.199997,140.080002,140.080002,140626800
